Program ,state,comp,util,region,season,sm,em,dow,min_days,max_events,max_days,min_dur,max_dur,start_time,end_time,events_daily,max_consec,max_hours,notif_type,notif_time,notif_delt,base_method,hist_pres,pay_function,elig
Flex Peak (Idaho),ID,Idaho Power ,,west ,summer ,6,9,weekdays ,n/a,n/a,n/a,2,4,15,22,n/a,n/a,60,day_of ,n/a,4,n/a,yes,"Average season performance percentage is calculated by dividing average load reduction by the average event week nomination. Fixed capacity payment rate depends on the range of average season performance percentage that the customer falls within (this number is multiplied by the number of weeks in the season). After the first 4 events of the season, a variable payment of $0.20 kWh is possible to receive. ",Must be able to reduce at least 20 kW during an event and have at least 3 events per season
Interruptible Power Service (Idaho),ID,Rocky Mountain Power,,west,,,,,,,,,,,,,,,,,,,,,Must have a load of at least 1000 kW
Electric Rate Savings Tier 1 (Minnesota),MN,Xcel Energy,,west,year_round,1,12,any ,,,,,,,,,,150,day_of,n/a,n/a,,yes,Penalty for not curtailing is $8 per kW in excess of predetermined demand level. Discount is applied to controllable demand (higher discount for summer). ,Must be able to reduce load by at least 50 kW
Electric Rate Savings Tier 2 (Minnesota),MN,Xcel Energy,,west,year_round,1,12,any ,,,,4,8,,,,,150,day_of,n/a,n/a,,yes,Penalty for not curtailing is $10 per kW in excess of predetermined demand level. Discount is applied to controllable demand (higher discount for summer),Must be able to reduce load by at least 50 kW
Peak Partner Rewards (Minnesota),MN,Xcel Energy,,west ,summer ,6,9,weekdays,n/a,15,n/a,n/a,4,12,20,1,n/a,60,day_of,n/a,1,"Average of the measured demand during 15 minutes of the last 5 highest energy consumption days within the last 10 non-holiday, non-weekend, non-event days. ",n/a,Reservation incentive calculated by multiplying monthly load reduction obligation by reservation incentive kilowatt rate. Also performance incentivethat can be received if the customer exceeds theit load reduction obligation. Both are billing credits. ,Must have at least 25 kW of interruptible demand each month between June and September 
Demand Response Resources Program (Montana) ,MT,CPower and Montant-Dakota Utilities Co.,,west,year_round,1,12,any ,n/a,n/a,n/a,n/a,4,n/a,n/a,n/a,n/a,50,day_of,n/a,1,,,Capacity payment based on customer's nomination ($35 per kW-year annual payment). Energy payment of $0.20 per kWh reduced for the first 4 hours of an event If there have been less than 50 hours dispatched for the year. Proportional penalty if load reduction falls below 50% of the customer's nomination. ,Must be able to reduce at least 50 kW of load
Interruptible Large Power Demand Response (Montana) ,MT,Montana-Dakota Utilities Co. ,,west ,year_round ,1,12,any ,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,100,day_of,n/a,0.167,,n/a,Reinbursment price for load curtailment will be agreed upon between the customer and the company. Penalty for non-performance will be ~$10.00 per kW of non-performance. ,Must have a demand of at least 500kW 
Emergency  Curtailable 467E (Nebraska) ,NE,Omaha Public Power District ,,west,summer,6,9,any ,n/a,n/a,n/a,n/a,8,12,22,n/a,n/a,n/a,day_of,n/a,1,,n/a,Billing credit of $10.25 kW/day. Penalty for failing to reduce by 100kW is forfeiting credits,Must be able to reduce load by at least 100kW 
Voluntary Curtailable 467V (Nebraska) ,NE,Omaha Public Power District ,,west,summer,6,9,any ,n/a,n/a,n/a,n/a,8,12,22,n/a,n/a,n/a,day_of,n/a,1,,n/a,Billing credit of $5.12 kW/day. Penalty for failing to reduce by 100kW is forfeiting credits,Must be able to reduce load by at least 100kW 
General Service Leased Capacity Option (Nebraska),NE,Omaha Public Power District ,,west,summer,6,9,weekdays,n/a,n/a,n/a,n/a,4,10,n/a,n/a,n/a,n/a,day_of,15,2,,n/a,Capacity credit of $3.10 /kW of leased capacity and energy credit of $0.16 /kWh  (monthly billing credits). Credits can be suspended for failure to make leased capacity available. ,Must be able to reduce load by at least 100kW 
General Service/Large General Service Curtailment (Nebraska) ,NE,Omaha Public Power District ,,west,summer,6,9,weekdays,n/a,n/a,n/a,n/a,10,12,22,n/a,n/a,100,day_of,15,2,Average load for the hours during which OPPD's load was within 90% of OPPD's annual peak (recent historical load) ,n/a,Billing credit based on how much energy is curtailed along with the max capacity curtailment of 100 kW,Must be able to reduce load by at least 500kW 
General Service/Large General Service Curtailment 467H (Nebraska) ,NE,Omaha Public Power District ,,west,summer,6,9,weekdays,n/a,n/a,n/a,n/a,10,12,22,n/a,n/a,100,day_of,15,2,Average load for the hours during which OPPD's load was within 90% of OPPD's annual peak (recent historical load) ,n/a,Billing credit based on how much energy is curtailed along with the max capacity curtailment of 100 kW,"Must be able to reduce load by at least 10,000kW "
Energy Curtailment Service Rider (Nebraska) ,NE,Nebraska Public Power District ,,west,year_round,1,12,any ,n/a,n/a,n/a,1,12,n/a,n/a,n/a,n/a,n/a,day_of,n/a,n/a,,n/a,"The credit rate ($/kW) will be offered by the company. It will be credited to the customer based on the percent of the committed load that is reduced. If the customer reduces less than 90% of the committed load, the credit will be the actual load reduction x the offered load reduction price plus the difference between 90% of the committed load reduction and the actual reduced load x 200% of the offer price. If the customer reduces between 90% and 110% of the committed load reduction, they will be credited based on their actual reduced load x the offer price. If the customer reduces above 110% of their committed load, they will be credited 110% of their committed load x the offered price. Penalty is removal from the rate schedule. ",Must be able to reduce load by at least 50 kW 
Interruptible Service Rider (Nebraska) ,NE,Nebraska Public Power District ,,west,year_round,1,12,any ,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,100,day_of,n/a,2,Determined by service agreement,n/a,50% off of the excess demand charges during the 1st 12 months in the program. (come back to this),Must have a non-firm contract demand of at least 10 MW and a firm contract demand of at least 25% of non-firm contract demand
PNM Peak Saver (New Mexico),NM,Public Service Company of New Mexico,,west,summer,6,9,weekdays,n/a,n/a,n/a,n/a,4,8,20,n/a,n/a,100,day_of,n/a,0.167,"""One-minute interval load data is used to calculate load impacts using a customer baseline",,,
"(“CBL”) method""""""",NM,yes,,Annual incentive paytment based on how much electricity demand is curtailed. (not much detail) ,Must have a peak demand greater than 50 kW and on specific rates,,,,,,,,,,,,,,,,,,,,
"Interruptible Credit Option (1-hour notice, 40hrs, year round) (New Mexico)",NM,Xcel Energy,,west ,year_round,1,12,any ,n/a,n/a,n/a,4,n/a,n/a,n/a,1,n/a,40,day_of,n/a,1,Median of max 30 minute integrated  demands  between the hours of 12:00 pm and 8:00 pm weekdays between June 1 and September 30 of the prior year,n/a,"Monthly billing credits calculated by monthly credit rate (mcr) x lesser of customer's CIL or the interruptible demand. MCR equations are different for winter and summer:  Summer (June 1 - September 30) Monthly Credit, per kW - month:",
MCR = [$7.75 x Ca x Nf) +(Av x Ha)] x Slfx 130%,NM,,,,,,,,,,,,,,,,,,,,,,,,
Winter (October 1 - May 30) Monthly Credit,NM, per kW - month:,,,,,,,,,,,,,,,,,,,,,,,
"MCR = [$7.75 x Ca x Nf) +(Av x Ha)] x Slf x 85%  (each variable is defined and outlined in the link i provided)""",NM,Must have a load of at least 300 kW during summer ,,,,,,,,,,,,,,,,,,,,,,,
"Interruptible Credit Option (no notice, 40hrs, year round) (New Mexico)",NM,Xcel Energy,,west ,year_round,1,12,any ,n/a,n/a,n/a,4,n/a,n/a,n/a,1,n/a,40,day_of,n/a,0,Median of max 30 minute integrated  demands  between the hours of 12:00 pm and 8:00 pm weekdays between June 1 and September 30 of the prior year,n/a,"Monthly billing credits calculated by monthly credit rate (mcr) x lesser of customer's CIL or the interruptible demand. MCR equations are different for winter and summer:  Summer (June 1 - September 30) Monthly Credit, per kW - month:",
MCR = [$7.75 x Ca x Nf) +(Av x Ha)] x Slfx 130%,NM,,,,,,,,,,,,,,,,,,,,,,,,
Winter (October 1 - May 30) Monthly Credit,NM, per kW - month:,,,,,,,,,,,,,,,,,,,,,,,
"MCR = [$7.75 x Ca x Nf) +(Av x Ha)] x Slf x 85%  (each variable is defined and outlined in the link i provided)""",NM,Must have a load of at least 300 kW during summer ,,,,,,,,,,,,,,,,,,,,,,,
"Interruptible Credit Option (1-hour notice, 80hrs, year round) (New Mexico)",NM,Xcel Energy,,west ,year_round,1,12,any ,n/a,n/a,n/a,4,n/a,n/a,n/a,1,n/a,80,day_of,n/a,1,Median of max 30 minute integrated  demands  between the hours of 12:00 pm and 8:00 pm weekdays between June 1 and September 30 of the prior year,n/a,"Monthly billing credits calculated by monthly credit rate (mcr) x lesser of customer's CIL or the interruptible demand. MCR equations are different for winter and summer:  Summer (June 1 - September 30) Monthly Credit, per kW - month:",
